stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
9920F,,"SAINT-DENIS",,  50.809857,   4.317517,,,0
9946,,"OMNISPORTS HAREN",,  50.893058,   4.422934,,,0
9952F,,"FLAGEY",,  50.827304,   4.372665,,,0
9959F,,"CHURCHILL",,  50.811688,   4.354123,,,0
9963F,,"CHURCHILL",,  50.811841,   4.354222,,,0
9969F,,"CHURCHILL",,  50.811985,   4.353655,,,0
9972F,,"DIEWEG",,  50.796526,   4.348173,,,0
9983,,"MEUDON",,  50.844760,   4.417568,,,0
9986F,,"CHURCHILL",,  50.812075,   4.353740,,,0
9996,,"MONTGOMERY",,  50.837483,   4.406117,,,0
